date,event,actors,category,significance,source_url
2016-11-08,Trump elected president,Donald Trump,election,Initial shock to tech industry - mass opposition,
2016-12-14,Tech leaders meet Trump at Trump Tower,"Tim Cook, Jeff Bezos, Elon Musk, Peter Thiel, Sheryl Sandberg",meeting,First major tech-Trump engagement despite opposition,
2017-01-20,Trump inaugurated,Peter Thiel,inauguration,Thiel only major tech figure present,
2017-02-03,Tech companies oppose travel ban,"Google, Apple, Facebook, Microsoft",legal,Industry unified against Trump policy,
2018-01-01,Peter Thiel leaves Silicon Valley,Peter Thiel,relocation,Moves to LA citing hostile political environment,
2020-05-01,Musk threatens to leave California,Elon Musk,conflict,COVID restrictions spark political shift,
2020-12-01,Tesla moves HQ to Texas,Elon Musk,relocation,Departure from Democratic California,
2021-01-06,Capitol riot - tech responds,"Twitter, Facebook, Google",policy,Trump banned from major platforms,
2022-04-25,Musk announces Twitter acquisition,Elon Musk,acquisition,Signals major platform shift,
2022-10-27,Musk completes Twitter purchase,Elon Musk,acquisition,Begins immediate policy changes,
2022-11-19,Trump reinstated on Twitter,Elon Musk,policy,Reverses 2021 ban,
2023-06-01,Musk backs DeSantis via Twitter Spaces,Elon Musk,endorsement,First explicit Republican endorsement,
2024-03-01,a16z publishes Little Tech Agenda,"Marc Andreessen, Ben Horowitz",manifesto,VC political agenda explicitly anti-Democratic,
2024-07-01,Andreessen and Horowitz endorse Trump,"Marc Andreessen, Ben Horowitz",endorsement,Major VC Trump endorsement,
2024-07-13,Musk endorses Trump after assassination attempt,Elon Musk,endorsement,Full MAGA alignment,
2024-08-01,Zuckerberg regrets COVID content moderation,Mark Zuckerberg,statement,Rightward policy shift signal,
2024-10-25,Bezos blocks WaPo Harris endorsement,Jeff Bezos,media,Newspaper neutrality shift,
2024-11-05,Trump wins 2024 election,Donald Trump,election,Tech leaders congratulate,
2024-11-13,Zuckerberg dines with Trump at Mar-a-Lago,Mark Zuckerberg,meeting,Public reconciliation,
2025-01-20,Tech CEOs attend Trump inauguration,"Elon Musk, Mark Zuckerberg, Jeff Bezos, Tim Cook, Sundar Pichai",inauguration,Unprecedented tech presence at Republican inauguration,
